Nome;Cor;Tamanho;Preco;Estoque
Vestido Luísa;Verde;PP;229.9;6
Vestido Luísa;Verde;P;229.9;4
Vestido Luísa;Verde;M;229.9;11
Vestido Luísa;Verde;G;229.9;2
Vestido Luísa;Verde;GG;229.9;0
Vestido Luísa;Fúcsia;PP;229.9;6
Vestido Luísa;Fúcsia;P;229.9;7
Vestido Luísa;Fúcsia;M;229.9;10
Vestido Luísa;Fúcsia;G;229.9;9
Vestido Luísa;Fúcsia;GG;229.9;3
Vestido Luísa;Vermelho;PP;229.9;3
Vestido Luísa;Vermelho;P;229.9;11
Vestido Luísa;Vermelho;M;229.9;9
Vestido Luísa;Vermelho;G;229.9;0
Vestido Luísa;Vermelho;GG;229.9;1
Vestido Luísa;Azul;PP;229.9;4
Vestido Luísa;Azul;P;229.9;9
Vestido Luísa;Azul;M;229.9;6
Vestido Luísa;Azul;G;229.9;0
Vestido Luísa;Azul;GG;229.9;0
Vestido Luísa;Rosa;PP;229.9;7
Vestido Luísa;Rosa;P;229.9;10
Vestido Luísa;Rosa;M;229.9;11
Vestido Luísa;Rosa;G;229.9;6
Vestido Luísa;Rosa;GG;229.9;4
Vestido Luísa;Branco;PP;229.9;7
Vestido Luísa;Branco;P;229.9;10
Vestido Luísa;Branco;M;229.9;14
Vestido Luísa;Branco;G;229.9;10
Vestido Luísa;Branco;GG;229.9;2
Vestido Luísa;Vermelho;PP;179;2
Vestido Luísa;Vermelho;P;179;2
Vestido Luísa;Vermelho;M;179;3
Vestido Luísa;Vermelho;G;179;2
Vestido Luísa;Vermelho;GG;179;4
Vestido Luísa;Verde;PP;179;0
Vestido Luísa;Verde;P;179;0
Vestido Luísa;Verde;M;179;4
Vestido Luísa;Verde;G;179;3
Vestido Luísa;Verde;GG;179;2
Vestido Luísa;Preto;PP;179;2
Vestido Luísa;Preto;P;179;1
Vestido Luísa;Preto;M;179;4
Vestido Luísa;Preto;G;179;3
Vestido Luísa;Preto;GG;179;2
Vestido Luísa;Azul;PP;179;0
Vestido Luísa;Azul;P;179;0
Vestido Luísa;Azul;M;179;0
Vestido Luísa;Azul;G;179;0
Vestido Luísa;Azul;GG;179;1
Vestido Maya;Vermelho;PP;219.9;0
Vestido Maya;Vermelho;P;219.9;2
Vestido Maya;Vermelho;M;219.9;1
Vestido Maya;Vermelho;G;219.9;0
Vestido Maya;Vermelho;GG;219.9;0
Vestido Maya;Off white;PP;219.9;1
Vestido Maya;Off white;P;219.9;1
Vestido Maya;Off white;M;219.9;2
Vestido Maya;Off white;G;219.9;0
Vestido Maya;Off white;GG;219.9;2
Vestido Maya;Verde;PP;219.9;1
Vestido Maya;Verde;P;219.9;2
Vestido Maya;Verde;M;219.9;1
Vestido Maya;Verde;G;219.9;2
Vestido Maya;Verde;GG;219.9;2
Vestido Maya;Preto;PP;219.9;2
Vestido Maya;Preto;P;219.9;2
Vestido Maya;Preto;M;219.9;2
Vestido Maya;Preto;G;219.9;0
Vestido Maya;Preto;GG;219.9;2
Vestido Pamela;Onça;PP;159.9;18
Vestido Pamela;Onça;P;159.9;22
Vestido Pamela;Onça;M;159.9;15
Vestido Pamela;Onça;G;159.9;13
Vestido Pamela;Onça;GG;159.9;12
Vestido Malu;Preto;PP;179.9;0
Vestido Malu;Preto;P;179.9;0
Vestido Malu;Preto;M;179.9;0
Vestido Malu;Preto;G;179.9;0
Vestido Malu;Preto;GG;179.9;0
Vestido Malu;Branco;PP;179.9;1
Vestido Malu;Branco;P;179.9;1
Vestido Malu;Branco;M;179.9;0
Vestido Malu;Branco;G;179.9;0
Vestido Malu;Branco;GG;179.9;0
Vestido Malu;Pink;PP;179.9;0
Vestido Malu;Pink;P;179.9;0
Vestido Malu;Pink;M;179.9;0
Vestido Malu;Pink;G;179.9;0
Vestido Malu;Pink;GG;179.9;0
Body Premium Maju;Preto;PP;89.9;20
Body Premium Maju;Preto;P;89.9;9
Body Premium Maju;Preto;M;89.9;9
Body Premium Maju;Preto;G;89.9;13
Body Premium Maju;Preto;GG;89.9;15
Body Premium Maju;Bege;PP;89.9;18
Body Premium Maju;Bege;P;89.9;18
Body Premium Maju;Bege;M;89.9;17
Body Premium Maju;Bege;G;89.9;14
Body Premium Maju;Bege;GG;89.9;18
Saia Cargo;Off white;PP;129.9;3
Saia Cargo;Off white;P;129.9;2
Saia Cargo;Off white;M;129.9;0
Saia Cargo;Off white;G;129.9;2
Saia Cargo;Off white;GG;129.9;4
Saia Cargo;Preto;PP;129.9;13
Saia Cargo;Preto;P;129.9;12
Saia Cargo;Preto;M;129.9;11
Saia Cargo;Preto;G;129.9;8
Saia Cargo;Preto;GG;129.9;14
Vestido Marina (Defeito);Laranja;PP;50;0
Jaqueta Daily (Últimas em Estoque);Cru;PP;70;0
Jaqueta Daily (Últimas em Estoque);Verde;PP;70;6
Jaqueta Daily (Últimas em Estoque);Cru;P;70;0
Jaqueta Daily (Últimas em Estoque);Verde;P;70;5
Jaqueta Daily (Últimas em Estoque);Cru;M;70;0
Jaqueta Daily (Últimas em Estoque);Verde;M;70;2
Jaqueta Daily (Últimas em Estoque);Cru;G;70;0
Jaqueta Daily (Últimas em Estoque);Verde;G;70;0
Jaqueta Daily (Últimas em Estoque);Cru;GG;70;0
Jaqueta Daily (Últimas em Estoque);Verde;GG;70;1
Saia Maísa (Defeito);Preto;PP;50;0
Saia Maísa (Defeito);Pink;PP;50;0
Saia Maísa (Defeito);Onça;PP;50;0
Saia Maísa (Defeito);Preto;P;50;0
Saia Maísa (Defeito);Pink;P;50;0
Saia Maísa (Defeito);Onça;P;50;0
Saia Maísa (Defeito);Preto;M;50;0
Saia Maísa (Defeito);Pink;M;50;0
Saia Maísa (Defeito);Onça;M;50;0
Saia Maísa (Defeito);Preto;G;50;0
Saia Maísa (Defeito);Pink;G;50;0
Saia Maísa (Defeito);Onça;G;50;0
Saia Maísa (Defeito);Preto;GG;50;0
Saia Maísa (Defeito);Pink;GG;50;0
Saia Maísa (Defeito);Onça;GG;50;0
T-shirt Love;Sem Cor;PP;39.9;0
T-shirt Love;Sem Cor;P;39.9;2
T-shirt Love;Sem Cor;M;39.9;1
T-shirt Love;Sem Cor;G;39.9;1
T-shirt Love;Sem Cor;GG;39.9;0
T-shirt Dreams;Sem Cor;PP;39.9;6
T-shirt Dreams;Sem Cor;P;39.9;8
T-shirt Dreams;Sem Cor;M;39.9;2
T-shirt Dreams;Sem Cor;G;39.9;4
T-shirt Dreams;Sem Cor;GG;39.9;1
Vestido Camila;Vermelho;PP;219.9;10
Vestido Camila;Vermelho;P;219.9;13
